,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1665360000000,1665360000000,1665360000000,1665360000000,1665360000000,1665360000000,2022-10-10 00:00:00,2022-10-10 00:00:00,2022-10-10 00:00:00,2022-10-10 00:00:00,2022-10-10 00:00:00,2022-10-10 00:00:00,0.0,0.0,17.978457031250002,17.077287566501383,91,1020.2132
1,1665363600000,1665363600000,1665363600000,1665363600000,1665363600000,1665363600000,2022-10-10 01:00:00,2022-10-10 01:00:00,2022-10-10 01:00:00,2022-10-10 01:00:00,2022-10-10 01:00:00,2022-10-10 01:00:00,0.027200000000000002,0.027200000000000002,18.241250000000036,17.326940883681175,86,1019.6019
2,1665367200000,1665367200000,1665367200000,1665367200000,1665367200000,1665367200000,2022-10-10 02:00:00,2022-10-10 02:00:00,2022-10-10 02:00:00,2022-10-10 02:00:00,2022-10-10 02:00:00,2022-10-10 02:00:00,0.0368,0.064,17.820605468750045,16.927328584008166,88,1020.8757
3,1665370800000,1665370800000,1665370800000,1665370800000,1665370800000,1665370800000,2022-10-10 03:00:00,2022-10-10 03:00:00,2022-10-10 03:00:00,2022-10-10 03:00:00,2022-10-10 03:00:00,2022-10-10 03:00:00,0.316,0.38,17.454589843750057,16.579613744621412,90,1020.1842
4,1665374400000,1665374400000,1665374400000,1665374400000,1665374400000,1665374400000,2022-10-10 04:00:00,2022-10-10 04:00:00,2022-10-10 04:00:00,2022-10-10 04:00:00,2022-10-10 04:00:00,2022-10-10 04:00:00,0.45999999999999996,0.84,17.197832031250016,16.33569382580717,92,1019.2885000000001
5,1665378000000,1665378000000,1665378000000,1665378000000,1665378000000,1665378000000,2022-10-10 05:00:00,2022-10-10 05:00:00,2022-10-10 05:00:00,2022-10-10 05:00:00,2022-10-10 05:00:00,2022-10-10 05:00:00,0.08000000000000007,0.92,17.26726562500005,16.401655739041985,90,1019.5952000000001
6,1665381600000,1665381600000,1665381600000,1665381600000,1665381600000,1665381600000,2022-10-10 06:00:00,2022-10-10 06:00:00,2022-10-10 06:00:00,2022-10-10 06:00:00,2022-10-10 06:00:00,2022-10-10 06:00:00,0.07199999999999995,0.992,17.308261718750032,16.440602027615768,89,1019.0994999999999
7,1665385200000,1665385200000,1665385200000,1665385200000,1665385200000,1665385200000,2022-10-10 07:00:00,2022-10-10 07:00:00,2022-10-10 07:00:00,2022-10-10 07:00:00,2022-10-10 07:00:00,2022-10-10 07:00:00,0.04400000000000004,1.036,17.45869140625001,16.58351022894749,88,1019.78
8,1665388800000,1665388800000,1665388800000,1665388800000,1665388800000,1665388800000,2022-10-10 08:00:00,2022-10-10 08:00:00,2022-10-10 08:00:00,2022-10-10 08:00:00,2022-10-10 08:00:00,2022-10-10 08:00:00,0.0,1.036,17.574375000000032,16.69340964163095,88,1020.2702
9,1665392400000,1665392400000,1665392400000,1665392400000,1665392400000,1665392400000,2022-10-10 09:00:00,2022-10-10 09:00:00,2022-10-10 09:00:00,2022-10-10 09:00:00,2022-10-10 09:00:00,2022-10-10 09:00:00,0.0,1.036,17.672265625000023,16.786405734213986,88,1020.0844999999999
10,1665396000000,1665396000000,1665396000000,1665396000000,1665396000000,1665396000000,2022-10-10 10:00:00,2022-10-10 10:00:00,2022-10-10 10:00:00,2022-10-10 10:00:00,2022-10-10 10:00:00,2022-10-10 10:00:00,0.0040000000000000036,1.04,17.950800781250052,17.051014129331122,88,1021.1336
11,1665399600000,1665399600000,1665399600000,1665399600000,1665399600000,1665399600000,2022-10-10 11:00:00,2022-10-10 11:00:00,2022-10-10 11:00:00,2022-10-10 11:00:00,2022-10-10 11:00:00,2022-10-10 11:00:00,0.016000000000000014,1.056,18.726503906250002,17.78793208883397,84,1022.4306
