,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1663459200000,1663459200000,1663459200000,1663459200000,1663459200000,1663459200000,2022-09-18 00:00:00,2022-09-18 00:00:00,2022-09-18 00:00:00,2022-09-18 00:00:00,2022-09-18 00:00:00,2022-09-18 00:00:00,0.0,0.0,12.334375000000023,11.7154097040966,86,1022.8872
1,1663462800000,1663462800000,1663462800000,1663462800000,1663462800000,1663462800000,2022-09-18 01:00:00,2022-09-18 01:00:00,2022-09-18 01:00:00,2022-09-18 01:00:00,2022-09-18 01:00:00,2022-09-18 01:00:00,0.0,0.0,12.128730468750007,11.520047401860552,90,1022.2855000000001
2,1663466400000,1663466400000,1663466400000,1663466400000,1663466400000,1663466400000,2022-09-18 02:00:00,2022-09-18 02:00:00,2022-09-18 02:00:00,2022-09-18 02:00:00,2022-09-18 02:00:00,2022-09-18 02:00:00,0.0016,0.0016,12.148769531250025,11.539084510996702,91,1022.3363
3,1663470000000,1663470000000,1663470000000,1663470000000,1663470000000,1663470000000,2022-09-18 03:00:00,2022-09-18 03:00:00,2022-09-18 03:00:00,2022-09-18 03:00:00,2022-09-18 03:00:00,2022-09-18 03:00:00,0.0016,0.0032,12.166796875000045,11.556210487344316,90,1023.1558
4,1663473600000,1663473600000,1663473600000,1663473600000,1663473600000,1663473600000,2022-09-18 04:00:00,2022-09-18 04:00:00,2022-09-18 04:00:00,2022-09-18 04:00:00,2022-09-18 04:00:00,2022-09-18 04:00:00,0.0007999999999999999,0.004,12.039375000000007,11.435159707613252,90,1022.7174
5,1663477200000,1663477200000,1663477200000,1663477200000,1663477200000,1663477200000,2022-09-18 05:00:00,2022-09-18 05:00:00,2022-09-18 05:00:00,2022-09-18 05:00:00,2022-09-18 05:00:00,2022-09-18 05:00:00,0.0,0.004,11.674628906250007,11.088650922898864,91,1021.325
6,1663480800000,1663480800000,1663480800000,1663480800000,1663480800000,1663480800000,2022-09-18 06:00:00,2022-09-18 06:00:00,2022-09-18 06:00:00,2022-09-18 06:00:00,2022-09-18 06:00:00,2022-09-18 06:00:00,0.0,0.004,11.533183593750039,10.95427787771007,90,1021.6511
7,1663484400000,1663484400000,1663484400000,1663484400000,1663484400000,1663484400000,2022-09-18 07:00:00,2022-09-18 07:00:00,2022-09-18 07:00:00,2022-09-18 07:00:00,2022-09-18 07:00:00,2022-09-18 07:00:00,0.0,0.004,11.327773437500014,10.75913823172121,90,1021.6507
8,1663488000000,1663488000000,1663488000000,1663488000000,1663488000000,1663488000000,2022-09-18 08:00:00,2022-09-18 08:00:00,2022-09-18 08:00:00,2022-09-18 08:00:00,2022-09-18 08:00:00,2022-09-18 08:00:00,0.0,0.004,11.353046875000018,10.78314799704495,89,1022.0948
9,1663491600000,1663491600000,1663491600000,1663491600000,1663491600000,1663491600000,2022-09-18 09:00:00,2022-09-18 09:00:00,2022-09-18 09:00:00,2022-09-18 09:00:00,2022-09-18 09:00:00,2022-09-18 09:00:00,0.0,0.004,11.049394531250016,10.494678274102256,90,1021.3905
10,1663495200000,1663495200000,1663495200000,1663495200000,1663495200000,1663495200000,2022-09-18 10:00:00,2022-09-18 10:00:00,2022-09-18 10:00:00,2022-09-18 10:00:00,2022-09-18 10:00:00,2022-09-18 10:00:00,0.0,0.004,10.896230468750048,10.349172416553131,91,1022.2577
11,1663498800000,1663498800000,1663498800000,1663498800000,1663498800000,1663498800000,2022-09-18 11:00:00,2022-09-18 11:00:00,2022-09-18 11:00:00,2022-09-18 11:00:00,2022-09-18 11:00:00,2022-09-18 11:00:00,0.0,0.004,13.301367187500034,12.634052270694156,73,1023.4247
12,1663502400000,1663502400000,1663502400000,1663502400000,1663502400000,1663502400000,2022-09-18 12:00:00,2022-09-18 12:00:00,2022-09-18 12:00:00,2022-09-18 12:00:00,2022-09-18 12:00:00,2022-09-18 12:00:00,0.004,0.008,15.08269531250005,14.326313968209092,61,1023.0552
13,1663506000000,1663506000000,1663506000000,1663506000000,1663506000000,1663506000000,2022-09-18 13:00:00,2022-09-18 13:00:00,2022-09-18 13:00:00,2022-09-18 13:00:00,2022-09-18 13:00:00,2022-09-18 13:00:00,0.0,0.008,16.991582031250005,16.13975632826586,51,1022.7318
14,1663509600000,1663509600000,1663509600000,1663509600000,1663509600000,1663509600000,2022-09-18 14:00:00,2022-09-18 14:00:00,2022-09-18 14:00:00,2022-09-18 14:00:00,2022-09-18 14:00:00,2022-09-18 14:00:00,0.0,0.008,18.557226562500034,17.62711861428943,46,1021.2592
15,1663513200000,1663513200000,1663513200000,1663513200000,1663513200000,1663513200000,2022-09-18 15:00:00,2022-09-18 15:00:00,2022-09-18 15:00:00,2022-09-18 15:00:00,2022-09-18 15:00:00,2022-09-18 15:00:00,0.0,0.008,19.88621093750004,18.889653754696724,43,1020.3636
16,1663516800000,1663516800000,1663516800000,1663516800000,1663516800000,1663516800000,2022-09-18 16:00:00,2022-09-18 16:00:00,2022-09-18 16:00:00,2022-09-18 16:00:00,2022-09-18 16:00:00,2022-09-18 16:00:00,0.0,0.008,20.17107421875005,19.16027386848839,45,1019.2993000000001
17,1663520400000,1663520400000,1663520400000,1663520400000,1663520400000,1663520400000,2022-09-18 17:00:00,2022-09-18 17:00:00,2022-09-18 17:00:00,2022-09-18 17:00:00,2022-09-18 17:00:00,2022-09-18 17:00:00,0.0,0.008,19.938378906250023,18.93921332438731,49,1017.9911
18,1663524000000,1663524000000,1663524000000,1663524000000,1663524000000,1663524000000,2022-09-18 18:00:00,2022-09-18 18:00:00,2022-09-18 18:00:00,2022-09-18 18:00:00,2022-09-18 18:00:00,2022-09-18 18:00:00,0.0,0.008,18.768867187500007,17.828177205516454,58,1017.4756
19,1663527600000,1663527600000,1663527600000,1663527600000,1663527600000,1663527600000,2022-09-18 19:00:00,2022-09-18 19:00:00,2022-09-18 19:00:00,2022-09-18 19:00:00,2022-09-18 19:00:00,2022-09-18 19:00:00,0.0,0.008,17.47628906250003,16.600228002175214,65,1017.6416
20,1663531200000,1663531200000,1663531200000,1663531200000,1663531200000,1663531200000,2022-09-18 20:00:00,2022-09-18 20:00:00,2022-09-18 20:00:00,2022-09-18 20:00:00,2022-09-18 20:00:00,2022-09-18 20:00:00,0.0,0.008,16.21333984375002,15.400426259418225,71,1018.4627
21,1663534800000,1663534800000,1663534800000,1663534800000,1663534800000,1663534800000,2022-09-18 21:00:00,2022-09-18 21:00:00,2022-09-18 21:00:00,2022-09-18 21:00:00,2022-09-18 21:00:00,2022-09-18 21:00:00,0.0,0.008,14.725957031250005,13.987412605274216,79,1019.0204000000001
22,1663538400000,1663538400000,1663538400000,1663538400000,1663538400000,1663538400000,2022-09-18 22:00:00,2022-09-18 22:00:00,2022-09-18 22:00:00,2022-09-18 22:00:00,2022-09-18 22:00:00,2022-09-18 22:00:00,0.0,0.008,13.979082031250016,13.27788136417766,84,1018.9348
23,1663542000000,1663542000000,1663542000000,1663542000000,1663542000000,1663542000000,2022-09-18 23:00:00,2022-09-18 23:00:00,2022-09-18 23:00:00,2022-09-18 23:00:00,2022-09-18 23:00:00,2022-09-18 23:00:00,0.0,0.008,13.888320312500014,13.191657732447112,83,1020.1907000000001
24,1663545600000,1663545600000,1663545600000,1663545600000,1663545600000,1663545600000,2022-09-19 00:00:00,2022-09-19 00:00:00,2022-09-19 00:00:00,2022-09-19 00:00:00,2022-09-19 00:00:00,2022-09-19 00:00:00,0.0,0.008,13.569121093750027,12.888418478439775,81,1020.805
25,1663549200000,1663549200000,1663549200000,1663549200000,1663549200000,1663549200000,2022-09-19 01:00:00,2022-09-19 01:00:00,2022-09-19 01:00:00,2022-09-19 01:00:00,2022-09-19 01:00:00,2022-09-19 01:00:00,0.0,0.008,13.260156250000023,12.594901880560428,81,1020.3544
26,1663552800000,1663552800000,1663552800000,1663552800000,1663552800000,1663552800000,2022-09-19 02:00:00,2022-09-19 02:00:00,2022-09-19 02:00:00,2022-09-19 02:00:00,2022-09-19 02:00:00,2022-09-19 02:00:00,0.0,0.008,12.995625000000018,12.343597196213892,84,1020.3004000000001
