,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1662940800000,1662940800000,1662940800000,1662940800000,1662940800000,1662940800000,2022-09-12 00:00:00,2022-09-12 00:00:00,2022-09-12 00:00:00,2022-09-12 00:00:00,2022-09-12 00:00:00,2022-09-12 00:00:00,0.0,0.0,13.115781250000055,12.45774563228153,91,1021.1954000000001
1,1662944400000,1662944400000,1662944400000,1662944400000,1662944400000,1662944400000,2022-09-12 01:00:00,2022-09-12 01:00:00,2022-09-12 01:00:00,2022-09-12 01:00:00,2022-09-12 01:00:00,2022-09-12 01:00:00,0.0,0.0,13.209414062500002,12.546696803040305,88,1020.1287
2,1662948000000,1662948000000,1662948000000,1662948000000,1662948000000,1662948000000,2022-09-12 02:00:00,2022-09-12 02:00:00,2022-09-12 02:00:00,2022-09-12 02:00:00,2022-09-12 02:00:00,2022-09-12 02:00:00,0.012,0.012,13.491855468750032,12.815016135610875,85,1019.6361
3,1662951600000,1662951600000,1662951600000,1662951600000,1662951600000,1662951600000,2022-09-12 03:00:00,2022-09-12 03:00:00,2022-09-12 03:00:00,2022-09-12 03:00:00,2022-09-12 03:00:00,2022-09-12 03:00:00,0.0224,0.0344,13.28244140625003,12.616072778732274,88,1020.7819000000001
4,1662955200000,1662955200000,1662955200000,1662955200000,1662955200000,1662955200000,2022-09-12 04:00:00,2022-09-12 04:00:00,2022-09-12 04:00:00,2022-09-12 04:00:00,2022-09-12 04:00:00,2022-09-12 04:00:00,0.0008000000000000021,0.0352,12.916015625000057,12.267968290912933,91,1020.5437
5,1662958800000,1662958800000,1662958800000,1662958800000,1662958800000,1662958800000,2022-09-12 05:00:00,2022-09-12 05:00:00,2022-09-12 05:00:00,2022-09-12 05:00:00,2022-09-12 05:00:00,2022-09-12 05:00:00,0.0208,0.056,13.128691406250027,12.470010280565106,89,1019.9805
6,1662962400000,1662962400000,1662962400000,1662962400000,1662962400000,1662962400000,2022-09-12 06:00:00,2022-09-12 06:00:00,2022-09-12 06:00:00,2022-09-12 06:00:00,2022-09-12 06:00:00,2022-09-12 06:00:00,0.07,0.126,13.352285156250048,12.682424340399677,87,1017.4978
7,1662966000000,1662966000000,1662966000000,1662966000000,1662966000000,1662966000000,2022-09-12 07:00:00,2022-09-12 07:00:00,2022-09-12 07:00:00,2022-09-12 07:00:00,2022-09-12 07:00:00,2022-09-12 07:00:00,0.07800000000000001,0.20400000000000001,13.975703125000052,13.274671403280479,84,1018.9797
8,1662969600000,1662969600000,1662969600000,1662969600000,1662969600000,1662969600000,2022-09-12 08:00:00,2022-09-12 08:00:00,2022-09-12 08:00:00,2022-09-12 08:00:00,2022-09-12 08:00:00,2022-09-12 08:00:00,0.064,0.268,14.098242187500034,13.391083511194665,84,1018.5786999999999
9,1662973200000,1662973200000,1662973200000,1662973200000,1662973200000,1662973200000,2022-09-12 09:00:00,2022-09-12 09:00:00,2022-09-12 09:00:00,2022-09-12 09:00:00,2022-09-12 09:00:00,2022-09-12 09:00:00,0.055999999999999994,0.324,14.171054687500032,13.46025538532669,84,1018.6605999999999
10,1662976800000,1662976800000,1662976800000,1662976800000,1662976800000,1662976800000,2022-09-12 10:00:00,2022-09-12 10:00:00,2022-09-12 10:00:00,2022-09-12 10:00:00,2022-09-12 10:00:00,2022-09-12 10:00:00,0.07600000000000001,0.4,14.61248046875005,13.87960987225199,82,1019.0441999999999
11,1662980400000,1662980400000,1662980400000,1662980400000,1662980400000,1662980400000,2022-09-12 11:00:00,2022-09-12 11:00:00,2022-09-12 11:00:00,2022-09-12 11:00:00,2022-09-12 11:00:00,2022-09-12 11:00:00,0.09999999999999998,0.5,15.70308593750002,14.915685054563426,77,1020.0690000000001
