,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1667952000000,1667952000000,1667952000000,1667952000000,1667952000000,1667952000000,2022-11-09 00:00:00,2022-11-09 00:00:00,2022-11-09 00:00:00,2022-11-09 00:00:00,2022-11-09 00:00:00,2022-11-09 00:00:00,0.0,0.0,14.88986328125003,14.143123540820312,80,1019.2707
1,1667955600000,1667955600000,1667955600000,1667955600000,1667955600000,1667955600000,2022-11-09 01:00:00,2022-11-09 01:00:00,2022-11-09 01:00:00,2022-11-09 01:00:00,2022-11-09 01:00:00,2022-11-09 01:00:00,0.0,0.0,15.370488281250005,14.599717285090804,75,1019.3401000000001
2,1667959200000,1667959200000,1667959200000,1667959200000,1667959200000,1667959200000,2022-11-09 02:00:00,2022-11-09 02:00:00,2022-11-09 02:00:00,2022-11-09 02:00:00,2022-11-09 02:00:00,2022-11-09 02:00:00,0.0,0.0,15.048925781250034,14.294232913924134,75,1018.8095
3,1667962800000,1667962800000,1667962800000,1667962800000,1667962800000,1667962800000,2022-11-09 03:00:00,2022-11-09 03:00:00,2022-11-09 03:00:00,2022-11-09 03:00:00,2022-11-09 03:00:00,2022-11-09 03:00:00,0.0,0.0,14.574804687500034,13.843817880513598,76,1019.1735000000001
4,1667966400000,1667966400000,1667966400000,1667966400000,1667966400000,1667966400000,2022-11-09 04:00:00,2022-11-09 04:00:00,2022-11-09 04:00:00,2022-11-09 04:00:00,2022-11-09 04:00:00,2022-11-09 04:00:00,0.0,0.0,14.058886718750045,13.353695816351348,80,1018.0317
5,1667970000000,1667970000000,1667970000000,1667970000000,1667970000000,1667970000000,2022-11-09 05:00:00,2022-11-09 05:00:00,2022-11-09 05:00:00,2022-11-09 05:00:00,2022-11-09 05:00:00,2022-11-09 05:00:00,0.0,0.0,13.691191406250027,13.004385273859583,84,1017.4051000000001
6,1667973600000,1667973600000,1667973600000,1667973600000,1667973600000,1667973600000,2022-11-09 06:00:00,2022-11-09 06:00:00,2022-11-09 06:00:00,2022-11-09 06:00:00,2022-11-09 06:00:00,2022-11-09 06:00:00,0.0,0.0,13.48287109375002,12.806480979467949,90,1017.2144999999999
7,1667977200000,1667977200000,1667977200000,1667977200000,1667977200000,1667977200000,2022-11-09 07:00:00,2022-11-09 07:00:00,2022-11-09 07:00:00,2022-11-09 07:00:00,2022-11-09 07:00:00,2022-11-09 07:00:00,0.002,0.002,13.427539062500045,12.753915550440098,95,1017.327
8,1667980800000,1667980800000,1667980800000,1667980800000,1667980800000,1667980800000,2022-11-09 08:00:00,2022-11-09 08:00:00,2022-11-09 08:00:00,2022-11-09 08:00:00,2022-11-09 08:00:00,2022-11-09 08:00:00,0.01,0.012,13.314589843750014,12.646613793974012,95,1017.4518
9,1667984400000,1667984400000,1667984400000,1667984400000,1667984400000,1667984400000,2022-11-09 09:00:00,2022-11-09 09:00:00,2022-11-09 09:00:00,2022-11-09 09:00:00,2022-11-09 09:00:00,2022-11-09 09:00:00,0.046,0.057999999999999996,14.284960937500045,13.568466321468833,89,1017.3324
10,1667988000000,1667988000000,1667988000000,1667988000000,1667988000000,1667988000000,2022-11-09 10:00:00,2022-11-09 10:00:00,2022-11-09 10:00:00,2022-11-09 10:00:00,2022-11-09 10:00:00,2022-11-09 10:00:00,0.010000000000000002,0.068,15.556953125000007,14.776858884430453,83,1017.5274000000001
11,1667991600000,1667991600000,1667991600000,1667991600000,1667991600000,1667991600000,2022-11-09 11:00:00,2022-11-09 11:00:00,2022-11-09 11:00:00,2022-11-09 11:00:00,2022-11-09 11:00:00,2022-11-09 11:00:00,0.0,0.068,17.692382812500057,16.8055170620992,72,1018.3964
12,1667995200000,1667995200000,1667995200000,1667995200000,1667995200000,1667995200000,2022-11-09 12:00:00,2022-11-09 12:00:00,2022-11-09 12:00:00,2022-11-09 12:00:00,2022-11-09 12:00:00,2022-11-09 12:00:00,0.0,0.068,20.236269531250002,19.22220941458616,61,1017.4492
13,1667998800000,1667998800000,1667998800000,1667998800000,1667998800000,1667998800000,2022-11-09 13:00:00,2022-11-09 13:00:00,2022-11-09 13:00:00,2022-11-09 13:00:00,2022-11-09 13:00:00,2022-11-09 13:00:00,0.0,0.068,22.644472656250002,22.609956906697704,53,1016.5469
14,1668002400000,1668002400000,1668002400000,1668002400000,1668002400000,1668002400000,2022-11-09 14:00:00,2022-11-09 14:00:00,2022-11-09 14:00:00,2022-11-09 14:00:00,2022-11-09 14:00:00,2022-11-09 14:00:00,0.0040000000000000036,0.07200000000000001,24.845234375000018,24.814527337548213,46,1014.9578
15,1668006000000,1668006000000,1668006000000,1668006000000,1668006000000,1668006000000,2022-11-09 15:00:00,2022-11-09 15:00:00,2022-11-09 15:00:00,2022-11-09 15:00:00,2022-11-09 15:00:00,2022-11-09 15:00:00,1.8679999999999999,1.94,21.63990234375001,21.623782663654822,63,1015.3940000000001
16,1668009600000,1668009600000,1668009600000,1668009600000,1668009600000,1668009600000,2022-11-09 16:00:00,2022-11-09 16:00:00,2022-11-09 16:00:00,2022-11-09 16:00:00,2022-11-09 16:00:00,2022-11-09 16:00:00,0.552,2.492,21.785703125000055,21.77745957783668,65,1015.1916
17,1668013200000,1668013200000,1668013200000,1668013200000,1668013200000,1668013200000,2022-11-09 17:00:00,2022-11-09 17:00:00,2022-11-09 17:00:00,2022-11-09 17:00:00,2022-11-09 17:00:00,2022-11-09 17:00:00,0.48,2.972,19.51777343750001,18.53963813408882,76,1015.3819
18,1668016800000,1668016800000,1668016800000,1668016800000,1668016800000,1668016800000,2022-11-09 18:00:00,2022-11-09 18:00:00,2022-11-09 18:00:00,2022-11-09 18:00:00,2022-11-09 18:00:00,2022-11-09 18:00:00,0.0,2.972,18.320195312500005,17.401938929615056,82,1014.4109
19,1668020400000,1668020400000,1668020400000,1668020400000,1668020400000,1668020400000,2022-11-09 19:00:00,2022-11-09 19:00:00,2022-11-09 19:00:00,2022-11-09 19:00:00,2022-11-09 19:00:00,2022-11-09 19:00:00,0.01200000000000001,2.984,20.159902343750048,19.149660587371557,69,1013.5358
20,1668024000000,1668024000000,1668024000000,1668024000000,1668024000000,1668024000000,2022-11-09 20:00:00,2022-11-09 20:00:00,2022-11-09 20:00:00,2022-11-09 20:00:00,2022-11-09 20:00:00,2022-11-09 20:00:00,0.0,2.984,19.523378906250002,18.54496332933448,74,1015.0054000000001
21,1668027600000,1668027600000,1668027600000,1668027600000,1668027600000,1668027600000,2022-11-09 21:00:00,2022-11-09 21:00:00,2022-11-09 21:00:00,2022-11-09 21:00:00,2022-11-09 21:00:00,2022-11-09 21:00:00,0.0,2.984,18.464003906250014,17.538557091963213,80,1015.8458999999999
22,1668031200000,1668031200000,1668031200000,1668031200000,1668031200000,1668031200000,2022-11-09 22:00:00,2022-11-09 22:00:00,2022-11-09 22:00:00,2022-11-09 22:00:00,2022-11-09 22:00:00,2022-11-09 22:00:00,0.0,2.984,17.712343750000002,16.8244799524862,85,1015.6899000000001
