,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1662249600000,1662249600000,1662249600000,1662249600000,1662249600000,1662249600000,2022-09-04 00:00:00,2022-09-04 00:00:00,2022-09-04 00:00:00,2022-09-04 00:00:00,2022-09-04 00:00:00,2022-09-04 00:00:00,0.0,0.0,13.507675781250043,12.830045432297283,92,1023.1213
1,1662253200000,1662253200000,1662253200000,1662253200000,1662253200000,1662253200000,2022-09-04 01:00:00,2022-09-04 01:00:00,2022-09-04 01:00:00,2022-09-04 01:00:00,2022-09-04 01:00:00,2022-09-04 01:00:00,0.0032,0.0032,13.379707031250007,12.70847512132275,92,1022.9644000000001
2,1662256800000,1662256800000,1662256800000,1662256800000,1662256800000,1662256800000,2022-09-04 02:00:00,2022-09-04 02:00:00,2022-09-04 02:00:00,2022-09-04 02:00:00,2022-09-04 02:00:00,2022-09-04 02:00:00,0.1548,0.158,12.689296875000025,12.052585481115614,97,1023.1998
3,1662260400000,1662260400000,1662260400000,1662260400000,1662260400000,1662260400000,2022-09-04 03:00:00,2022-09-04 03:00:00,2022-09-04 03:00:00,2022-09-04 03:00:00,2022-09-04 03:00:00,2022-09-04 03:00:00,0.276,0.43400000000000005,12.155117187500025,11.545114784358532,97,1022.1874
4,1662264000000,1662264000000,1662264000000,1662264000000,1662264000000,1662264000000,2022-09-04 04:00:00,2022-09-04 04:00:00,2022-09-04 04:00:00,2022-09-04 04:00:00,2022-09-04 04:00:00,2022-09-04 04:00:00,0.316,0.75,11.548476562500014,10.968806197840223,95,1024.1006
5,1662267600000,1662267600000,1662267600000,1662267600000,1662267600000,1662267600000,2022-09-04 05:00:00,2022-09-04 05:00:00,2022-09-04 05:00:00,2022-09-04 05:00:00,2022-09-04 05:00:00,2022-09-04 05:00:00,0.17200000000000004,0.922,11.322187500000041,10.753831591162822,95,1022.5991
6,1662271200000,1662271200000,1662271200000,1662271200000,1662271200000,1662271200000,2022-09-04 06:00:00,2022-09-04 06:00:00,2022-09-04 06:00:00,2022-09-04 06:00:00,2022-09-04 06:00:00,2022-09-04 06:00:00,0.5339999999999999,1.456,11.192578125000011,10.63070268645788,94,1023.4727
7,1662274800000,1662274800000,1662274800000,1662274800000,1662274800000,1662274800000,2022-09-04 07:00:00,2022-09-04 07:00:00,2022-09-04 07:00:00,2022-09-04 07:00:00,2022-09-04 07:00:00,2022-09-04 07:00:00,0.3520000000000001,1.808,10.817656250000027,7.840268031252833,94,1022.8333
8,1662278400000,1662278400000,1662278400000,1662278400000,1662278400000,1662278400000,2022-09-04 08:00:00,2022-09-04 08:00:00,2022-09-04 08:00:00,2022-09-04 08:00:00,2022-09-04 08:00:00,2022-09-04 08:00:00,0.08000000000000007,1.8880000000000001,10.50337890625002,7.317066895062908,93,1023.9737
9,1662282000000,1662282000000,1662282000000,1662282000000,1662282000000,1662282000000,2022-09-04 09:00:00,2022-09-04 09:00:00,2022-09-04 09:00:00,2022-09-04 09:00:00,2022-09-04 09:00:00,2022-09-04 09:00:00,0.031999999999999806,1.92,10.594023437500027,10.062075740468202,90,1024.2546
