,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1669507200000,1669507200000,1669507200000,1669507200000,1669507200000,1669507200000,2022-11-27 00:00:00,2022-11-27 00:00:00,2022-11-27 00:00:00,2022-11-27 00:00:00,2022-11-27 00:00:00,2022-11-27 00:00:00,0.0,0.0,17.094609375000005,16.23763230360018,91,1015.4963
1,1669510800000,1669510800000,1669510800000,1669510800000,1669510800000,1669510800000,2022-11-27 01:00:00,2022-11-27 01:00:00,2022-11-27 01:00:00,2022-11-27 01:00:00,2022-11-27 01:00:00,2022-11-27 01:00:00,0.0,0.0,17.205214843750014,16.342707497594148,89,1015.1295
2,1669514400000,1669514400000,1669514400000,1669514400000,1669514400000,1669514400000,2022-11-27 02:00:00,2022-11-27 02:00:00,2022-11-27 02:00:00,2022-11-27 02:00:00,2022-11-27 02:00:00,2022-11-27 02:00:00,0.0,0.0,16.85035156250001,16.005587384636954,90,1015.4864
3,1669518000000,1669518000000,1669518000000,1669518000000,1669518000000,1669518000000,2022-11-27 03:00:00,2022-11-27 03:00:00,2022-11-27 03:00:00,2022-11-27 03:00:00,2022-11-27 03:00:00,2022-11-27 03:00:00,0.0,0.0,16.602382812500025,15.770017075092994,91,1014.796
4,1669521600000,1669521600000,1669521600000,1669521600000,1669521600000,1669521600000,2022-11-27 04:00:00,2022-11-27 04:00:00,2022-11-27 04:00:00,2022-11-27 04:00:00,2022-11-27 04:00:00,2022-11-27 04:00:00,0.0,0.0,16.45136718750001,15.62655223314323,91,1012.9286
5,1669525200000,1669525200000,1669525200000,1669525200000,1669525200000,1669525200000,2022-11-27 05:00:00,2022-11-27 05:00:00,2022-11-27 05:00:00,2022-11-27 05:00:00,2022-11-27 05:00:00,2022-11-27 05:00:00,0.0,0.0,16.42964843750002,15.605919420902126,91,1013.4391
6,1669528800000,1669528800000,1669528800000,1669528800000,1669528800000,1669528800000,2022-11-27 06:00:00,2022-11-27 06:00:00,2022-11-27 06:00:00,2022-11-27 06:00:00,2022-11-27 06:00:00,2022-11-27 06:00:00,0.0,0.0,16.286289062500032,15.469728016361131,90,1012.7733999999999
7,1669532400000,1669532400000,1669532400000,1669532400000,1669532400000,1669532400000,2022-11-27 07:00:00,2022-11-27 07:00:00,2022-11-27 07:00:00,2022-11-27 07:00:00,2022-11-27 07:00:00,2022-11-27 07:00:00,0.0,0.0,16.153359375000036,15.34344481482077,90,1012.9928
8,1669536000000,1669536000000,1669536000000,1669536000000,1669536000000,1669536000000,2022-11-27 08:00:00,2022-11-27 08:00:00,2022-11-27 08:00:00,2022-11-27 08:00:00,2022-11-27 08:00:00,2022-11-27 08:00:00,0.0,0.0,15.936054687500018,15.137005364286239,91,1013.6136
9,1669539600000,1669539600000,1669539600000,1669539600000,1669539600000,1669539600000,2022-11-27 09:00:00,2022-11-27 09:00:00,2022-11-27 09:00:00,2022-11-27 09:00:00,2022-11-27 09:00:00,2022-11-27 09:00:00,0.0,0.0,16.132851562500036,15.323962393190243,91,1014.7855999999999
10,1669543200000,1669543200000,1669543200000,1669543200000,1669543200000,1669543200000,2022-11-27 10:00:00,2022-11-27 10:00:00,2022-11-27 10:00:00,2022-11-27 10:00:00,2022-11-27 10:00:00,2022-11-27 10:00:00,0.0,0.0,18.284550781250005,17.368076625352472,79,1013.7653
11,1669546800000,1669546800000,1669546800000,1669546800000,1669546800000,1669546800000,2022-11-27 11:00:00,2022-11-27 11:00:00,2022-11-27 11:00:00,2022-11-27 11:00:00,2022-11-27 11:00:00,2022-11-27 11:00:00,0.012,0.012,20.378808593750023,19.35762152226198,68,1015.0961
12,1669550400000,1669550400000,1669550400000,1669550400000,1669550400000,1669550400000,2022-11-27 12:00:00,2022-11-27 12:00:00,2022-11-27 12:00:00,2022-11-27 12:00:00,2022-11-27 12:00:00,2022-11-27 12:00:00,0.0,0.012,21.903867187500055,21.88459585934322,61,1015.6428
