,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1661990400000,1661990400000,1661990400000,1661990400000,1661990400000,1661990400000,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,2022-09-01 00:00:00,0.0,0.0,12.731640625000011,12.092812043110825,77,1023.1273
1,1661994000000,1661994000000,1661994000000,1661994000000,1661994000000,1661994000000,2022-09-01 01:00:00,2022-09-01 01:00:00,2022-09-01 01:00:00,2022-09-01 01:00:00,2022-09-01 01:00:00,2022-09-01 01:00:00,0.0,0.0,12.806660156250018,12.164080596904029,76,1024.7819
2,1661997600000,1661997600000,1661997600000,1661997600000,1661997600000,1661997600000,2022-09-01 02:00:00,2022-09-01 02:00:00,2022-09-01 02:00:00,2022-09-01 02:00:00,2022-09-01 02:00:00,2022-09-01 02:00:00,0.0,0.0,12.463632812500009,11.838204624430716,78,1024.0169
3,1662001200000,1662001200000,1662001200000,1662001200000,1662001200000,1662001200000,2022-09-01 03:00:00,2022-09-01 03:00:00,2022-09-01 03:00:00,2022-09-01 03:00:00,2022-09-01 03:00:00,2022-09-01 03:00:00,0.0,0.0,12.299902343750034,11.682660681070047,78,1022.4309
4,1662004800000,1662004800000,1662004800000,1662004800000,1662004800000,1662004800000,2022-09-01 04:00:00,2022-09-01 04:00:00,2022-09-01 04:00:00,2022-09-01 04:00:00,2022-09-01 04:00:00,2022-09-01 04:00:00,0.0,0.0,12.04607421875005,11.441523965345937,78,1022.6196000000001
5,1662008400000,1662008400000,1662008400000,1662008400000,1662008400000,1662008400000,2022-09-01 05:00:00,2022-09-01 05:00:00,2022-09-01 05:00:00,2022-09-01 05:00:00,2022-09-01 05:00:00,2022-09-01 05:00:00,0.0,0.0,11.317617187500048,10.74948979434231,82,1021.4638
6,1662012000000,1662012000000,1662012000000,1662012000000,1662012000000,1662012000000,2022-09-01 06:00:00,2022-09-01 06:00:00,2022-09-01 06:00:00,2022-09-01 06:00:00,2022-09-01 06:00:00,2022-09-01 06:00:00,0.0,0.0,10.835976562500036,10.291931206333913,84,1021.9159
7,1662015600000,1662015600000,1662015600000,1662015600000,1662015600000,1662015600000,2022-09-01 07:00:00,2022-09-01 07:00:00,2022-09-01 07:00:00,2022-09-01 07:00:00,2022-09-01 07:00:00,2022-09-01 07:00:00,0.0,0.0,10.549238281250041,10.019529842564594,79,1021.6659
8,1662019200000,1662019200000,1662019200000,1662019200000,1662019200000,1662019200000,2022-09-01 08:00:00,2022-09-01 08:00:00,2022-09-01 08:00:00,2022-09-01 08:00:00,2022-09-01 08:00:00,2022-09-01 08:00:00,0.0,0.0,10.366289062500016,9.845728086933008,73,1022.7065000000001
9,1662022800000,1662022800000,1662022800000,1662022800000,1662022800000,1662022800000,2022-09-01 09:00:00,2022-09-01 09:00:00,2022-09-01 09:00:00,2022-09-01 09:00:00,2022-09-01 09:00:00,2022-09-01 09:00:00,0.0,0.0,10.20406250000002,9.691612854491893,69,1022.6030000000001
