,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1665014400000,1665014400000,1665014400000,1665014400000,1665014400000,1665014400000,2022-10-06 00:00:00,2022-10-06 00:00:00,2022-10-06 00:00:00,2022-10-06 00:00:00,2022-10-06 00:00:00,2022-10-06 00:00:00,0.0,0.0,16.739589843750025,15.900363753144859,87,1017.7702
1,1665018000000,1665018000000,1665018000000,1665018000000,1665018000000,1665018000000,2022-10-06 01:00:00,2022-10-06 01:00:00,2022-10-06 01:00:00,2022-10-06 01:00:00,2022-10-06 01:00:00,2022-10-06 01:00:00,0.0,0.0,16.702207031250055,15.864850081715502,88,1017.4179
2,1665021600000,1665021600000,1665021600000,1665021600000,1665021600000,1665021600000,2022-10-06 02:00:00,2022-10-06 02:00:00,2022-10-06 02:00:00,2022-10-06 02:00:00,2022-10-06 02:00:00,2022-10-06 02:00:00,0.0,0.0,16.284746093750016,15.468262196067002,91,1017.9255
3,1665025200000,1665025200000,1665025200000,1665025200000,1665025200000,1665025200000,2022-10-06 03:00:00,2022-10-06 03:00:00,2022-10-06 03:00:00,2022-10-06 03:00:00,2022-10-06 03:00:00,2022-10-06 03:00:00,0.0,0.0,15.912832031250048,15.11494384112558,94,1017.5291000000001
4,1665028800000,1665028800000,1665028800000,1665028800000,1665028800000,1665028800000,2022-10-06 04:00:00,2022-10-06 04:00:00,2022-10-06 04:00:00,2022-10-06 04:00:00,2022-10-06 04:00:00,2022-10-06 04:00:00,0.0,0.0,15.44939453125005,14.674678221650197,96,1016.8504
5,1665032400000,1665032400000,1665032400000,1665032400000,1665032400000,1665032400000,2022-10-06 05:00:00,2022-10-06 05:00:00,2022-10-06 05:00:00,2022-10-06 05:00:00,2022-10-06 05:00:00,2022-10-06 05:00:00,0.0,0.0,14.857968750000055,14.112823736513036,98,1017.0391999999999
6,1665036000000,1665036000000,1665036000000,1665036000000,1665036000000,1665036000000,2022-10-06 06:00:00,2022-10-06 06:00:00,2022-10-06 06:00:00,2022-10-06 06:00:00,2022-10-06 06:00:00,2022-10-06 06:00:00,0.002,0.002,15.54269531250003,14.763313962725448,93,1015.5355000000001
7,1665039600000,1665039600000,1665039600000,1665039600000,1665039600000,1665039600000,2022-10-06 07:00:00,2022-10-06 07:00:00,2022-10-06 07:00:00,2022-10-06 07:00:00,2022-10-06 07:00:00,2022-10-06 07:00:00,0.044,0.046,16.37960937500003,15.558382312123655,89,1016.2227
8,1665043200000,1665043200000,1665043200000,1665043200000,1665043200000,1665043200000,2022-10-06 08:00:00,2022-10-06 08:00:00,2022-10-06 08:00:00,2022-10-06 08:00:00,2022-10-06 08:00:00,2022-10-06 08:00:00,0.012000000000000004,0.058,16.558203125000034,15.728046372494646,88,1015.4283
9,1665046800000,1665046800000,1665046800000,1665046800000,1665046800000,1665046800000,2022-10-06 09:00:00,2022-10-06 09:00:00,2022-10-06 09:00:00,2022-10-06 09:00:00,2022-10-06 09:00:00,2022-10-06 09:00:00,0.001999999999999995,0.06,16.46111328125005,15.63581102208957,90,1014.9508999999999
10,1665050400000,1665050400000,1665050400000,1665050400000,1665050400000,1665050400000,2022-10-06 10:00:00,2022-10-06 10:00:00,2022-10-06 10:00:00,2022-10-06 10:00:00,2022-10-06 10:00:00,2022-10-06 10:00:00,0.0,0.06,16.834589843750052,15.990613752012393,87,1013.4478
11,1665054000000,1665054000000,1665054000000,1665054000000,1665054000000,1665054000000,2022-10-06 11:00:00,2022-10-06 11:00:00,2022-10-06 11:00:00,2022-10-06 11:00:00,2022-10-06 11:00:00,2022-10-06 11:00:00,0.0,0.06,19.466093750000027,18.490542431579883,73,1014.0801000000001
