,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1667088000000,1667088000000,1667088000000,1667088000000,1667088000000,1667088000000,2022-10-30 00:00:00,2022-10-30 00:00:00,2022-10-30 00:00:00,2022-10-30 00:00:00,2022-10-30 00:00:00,2022-10-30 00:00:00,0.0,0.0,21.329824218750048,21.368149233012957,81,1012.9079
1,1667091600000,1667091600000,1667091600000,1667091600000,1667091600000,1667091600000,2022-10-30 01:00:00,2022-10-30 01:00:00,2022-10-30 01:00:00,2022-10-30 01:00:00,2022-10-30 01:00:00,2022-10-30 01:00:00,0.8552000000000001,0.8552000000000001,21.402382812500036,21.436305318084322,79,1013.2583
2,1667095200000,1667095200000,1667095200000,1667095200000,1667095200000,1667095200000,2022-10-30 02:00:00,2022-10-30 02:00:00,2022-10-30 02:00:00,2022-10-30 02:00:00,2022-10-30 02:00:00,2022-10-30 02:00:00,0.05520000000000003,0.9104000000000001,21.027363281250018,21.05572784125431,79,1013.2936
3,1667098800000,1667098800000,1667098800000,1667098800000,1667098800000,1667098800000,2022-10-30 03:00:00,2022-10-30 03:00:00,2022-10-30 03:00:00,2022-10-30 03:00:00,2022-10-30 03:00:00,2022-10-30 03:00:00,0.17559999999999998,1.086,20.81318359375001,19.770277767083826,78,1013.8740000000001
4,1667102400000,1667102400000,1667102400000,1667102400000,1667102400000,1667102400000,2022-10-30 04:00:00,2022-10-30 04:00:00,2022-10-30 04:00:00,2022-10-30 04:00:00,2022-10-30 04:00:00,2022-10-30 04:00:00,1.034,2.12,20.56662109375003,19.536043395023086,78,1012.0017
5,1667106000000,1667106000000,1667106000000,1667106000000,1667106000000,1667106000000,2022-10-30 05:00:00,2022-10-30 05:00:00,2022-10-30 05:00:00,2022-10-30 05:00:00,2022-10-30 05:00:00,2022-10-30 05:00:00,0.03399999999999981,2.154,20.507343750000018,19.479729919167227,76,1010.5894999999999
6,1667109600000,1667109600000,1667109600000,1667109600000,1667109600000,1667109600000,2022-10-30 06:00:00,2022-10-30 06:00:00,2022-10-30 06:00:00,2022-10-30 06:00:00,2022-10-30 06:00:00,2022-10-30 06:00:00,0.0,2.154,20.567949218750016,19.53730511375724,76,1010.0790000000001
7,1667113200000,1667113200000,1667113200000,1667113200000,1667113200000,1667113200000,2022-10-30 07:00:00,2022-10-30 07:00:00,2022-10-30 07:00:00,2022-10-30 07:00:00,2022-10-30 07:00:00,2022-10-30 07:00:00,0.13200000000000012,2.286,20.44431640625004,19.419853943356088,77,1009.8261
8,1667116800000,1667116800000,1667116800000,1667116800000,1667116800000,1667116800000,2022-10-30 08:00:00,2022-10-30 08:00:00,2022-10-30 08:00:00,2022-10-30 08:00:00,2022-10-30 08:00:00,2022-10-30 08:00:00,0.20599999999999996,2.492,20.20255859375004,19.19018402436305,80,1010.9076000000001
9,1667120400000,1667120400000,1667120400000,1667120400000,1667120400000,1667120400000,2022-10-30 09:00:00,2022-10-30 09:00:00,2022-10-30 09:00:00,2022-10-30 09:00:00,2022-10-30 09:00:00,2022-10-30 09:00:00,0.06800000000000006,2.56,20.992089843750023,19.940238702451097,74,1011.7232
10,1667124000000,1667124000000,1667124000000,1667124000000,1667124000000,1667124000000,2022-10-30 10:00:00,2022-10-30 10:00:00,2022-10-30 10:00:00,2022-10-30 10:00:00,2022-10-30 10:00:00,2022-10-30 10:00:00,0.12400000000000011,2.684,22.78535156250001,22.79229985991776,65,1010.7056
11,1667127600000,1667127600000,1667127600000,1667127600000,1667127600000,1667127600000,2022-10-30 11:00:00,2022-10-30 11:00:00,2022-10-30 11:00:00,2022-10-30 11:00:00,2022-10-30 11:00:00,2022-10-30 11:00:00,0.0,2.684,25.31730468750004,25.324295592276258,56,1011.0040000000001
12,1667131200000,1667131200000,1667131200000,1667131200000,1667131200000,1667131200000,2022-10-30 12:00:00,2022-10-30 12:00:00,2022-10-30 12:00:00,2022-10-30 12:00:00,2022-10-30 12:00:00,2022-10-30 12:00:00,0.0,2.684,27.612675781250005,27.682236471196575,48,1010.8787
13,1667134800000,1667134800000,1667134800000,1667134800000,1667134800000,1667134800000,2022-10-30 13:00:00,2022-10-30 13:00:00,2022-10-30 13:00:00,2022-10-30 13:00:00,2022-10-30 13:00:00,2022-10-30 13:00:00,0.0,2.684,28.74968750000005,28.74246915290709,44,1010.0875
14,1667138400000,1667138400000,1667138400000,1667138400000,1667138400000,1667138400000,2022-10-30 14:00:00,2022-10-30 14:00:00,2022-10-30 14:00:00,2022-10-30 14:00:00,2022-10-30 14:00:00,2022-10-30 14:00:00,0.0,2.684,29.939003906250036,29.86187211896646,40,1009.3340000000001
15,1667142000000,1667142000000,1667142000000,1667142000000,1667142000000,1667142000000,2022-10-30 15:00:00,2022-10-30 15:00:00,2022-10-30 15:00:00,2022-10-30 15:00:00,2022-10-30 15:00:00,2022-10-30 15:00:00,0.0,2.684,30.731601562500032,30.632209618598495,38,1008.3311
16,1667145600000,1667145600000,1667145600000,1667145600000,1667145600000,1667145600000,2022-10-30 16:00:00,2022-10-30 16:00:00,2022-10-30 16:00:00,2022-10-30 16:00:00,2022-10-30 16:00:00,2022-10-30 16:00:00,0.0040000000000000036,2.688,31.372792968750048,31.26318076614419,36,1008.2374000000001
17,1667149200000,1667149200000,1667149200000,1667149200000,1667149200000,1667149200000,2022-10-30 17:00:00,2022-10-30 17:00:00,2022-10-30 17:00:00,2022-10-30 17:00:00,2022-10-30 17:00:00,2022-10-30 17:00:00,0.0,2.688,31.557519531250023,31.456282146289652,36,1007.0124000000001
18,1667152800000,1667152800000,1667152800000,1667152800000,1667152800000,1667152800000,2022-10-30 18:00:00,2022-10-30 18:00:00,2022-10-30 18:00:00,2022-10-30 18:00:00,2022-10-30 18:00:00,2022-10-30 18:00:00,0.016000000000000014,2.704,31.338535156250032,31.254699806986196,37,1005.9594000000001
19,1667156400000,1667156400000,1667156400000,1667156400000,1667156400000,1667156400000,2022-10-30 19:00:00,2022-10-30 19:00:00,2022-10-30 19:00:00,2022-10-30 19:00:00,2022-10-30 19:00:00,2022-10-30 19:00:00,1.496,4.2,27.090917968750034,27.297992497506073,56,1007.0155
20,1667160000000,1667160000000,1667160000000,1667160000000,1667160000000,1667160000000,2022-10-30 20:00:00,2022-10-30 20:00:00,2022-10-30 20:00:00,2022-10-30 20:00:00,2022-10-30 20:00:00,2022-10-30 20:00:00,4.271999999999999,8.472,25.250625000000014,25.287650840967416,65,1009.0856
21,1667163600000,1667163600000,1667163600000,1667163600000,1667163600000,1667163600000,2022-10-30 21:00:00,2022-10-30 21:00:00,2022-10-30 21:00:00,2022-10-30 21:00:00,2022-10-30 21:00:00,2022-10-30 21:00:00,0.0,8.472,25.840566406250048,25.87321662715567,62,1008.3433
22,1667167200000,1667167200000,1667167200000,1667167200000,1667167200000,1667167200000,2022-10-30 22:00:00,2022-10-30 22:00:00,2022-10-30 22:00:00,2022-10-30 22:00:00,2022-10-30 22:00:00,2022-10-30 22:00:00,0.0,8.472,25.952539062500023,25.983651462394334,61,1008.5788
23,1667170800000,1667170800000,1667170800000,1667170800000,1667170800000,1667170800000,2022-10-30 23:00:00,2022-10-30 23:00:00,2022-10-30 23:00:00,2022-10-30 23:00:00,2022-10-30 23:00:00,2022-10-30 23:00:00,0.0,8.472,25.855136718750032,25.886392840516635,61,1009.2702
24,1667174400000,1667174400000,1667174400000,1667174400000,1667174400000,1667174400000,2022-10-31 00:00:00,2022-10-31 00:00:00,2022-10-31 00:00:00,2022-10-31 00:00:00,2022-10-31 00:00:00,2022-10-31 00:00:00,0.0,8.472,25.465722656250023,25.49804728933708,63,1010.0631
25,1667178000000,1667178000000,1667178000000,1667178000000,1667178000000,1667178000000,2022-10-31 01:00:00,2022-10-31 01:00:00,2022-10-31 01:00:00,2022-10-31 01:00:00,2022-10-31 01:00:00,2022-10-31 01:00:00,0.0,8.472,24.87472656250003,24.90945614241423,66,1010.2248
26,1667181600000,1667181600000,1667181600000,1667181600000,1667181600000,1667181600000,2022-10-31 02:00:00,2022-10-31 02:00:00,2022-10-31 02:00:00,2022-10-31 02:00:00,2022-10-31 02:00:00,2022-10-31 02:00:00,0.0,8.472,24.428574218750043,24.46379868469498,68,1009.7164
27,1667185200000,1667185200000,1667185200000,1667185200000,1667185200000,1667185200000,2022-10-31 03:00:00,2022-10-31 03:00:00,2022-10-31 03:00:00,2022-10-31 03:00:00,2022-10-31 03:00:00,2022-10-31 03:00:00,0.0,8.472,24.117421875000048,24.15236617045798,69,1009.0139
28,1667188800000,1667188800000,1667188800000,1667188800000,1667188800000,1667188800000,2022-10-31 04:00:00,2022-10-31 04:00:00,2022-10-31 04:00:00,2022-10-31 04:00:00,2022-10-31 04:00:00,2022-10-31 04:00:00,0.040000000000000924,8.512,23.730214843750048,23.763710550557278,70,1010.0964
29,1667192400000,1667192400000,1667192400000,1667192400000,1667192400000,1667192400000,2022-10-31 05:00:00,2022-10-31 05:00:00,2022-10-31 05:00:00,2022-10-31 05:00:00,2022-10-31 05:00:00,2022-10-31 05:00:00,0.016000000000000014,8.528,23.396386718750023,23.427673687037213,71,1009.5624
30,1667196000000,1667196000000,1667196000000,1667196000000,1667196000000,1667196000000,2022-10-31 06:00:00,2022-10-31 06:00:00,2022-10-31 06:00:00,2022-10-31 06:00:00,2022-10-31 06:00:00,2022-10-31 06:00:00,0.0,8.528,23.339511718750032,23.367614591575943,70,1008.3038
31,1667199600000,1667199600000,1667199600000,1667199600000,1667199600000,1667199600000,2022-10-31 07:00:00,2022-10-31 07:00:00,2022-10-31 07:00:00,2022-10-31 07:00:00,2022-10-31 07:00:00,2022-10-31 07:00:00,0.0,8.528,23.425078125000027,23.447662263456834,68,1008.0784
32,1667203200000,1667203200000,1667203200000,1667203200000,1667203200000,1667203200000,2022-10-31 08:00:00,2022-10-31 08:00:00,2022-10-31 08:00:00,2022-10-31 08:00:00,2022-10-31 08:00:00,2022-10-31 08:00:00,0.0,8.528,23.353300781250027,23.372306942932596,67,1009.0994999999999
33,1667206800000,1667206800000,1667206800000,1667206800000,1667206800000,1667206800000,2022-10-31 09:00:00,2022-10-31 09:00:00,2022-10-31 09:00:00,2022-10-31 09:00:00,2022-10-31 09:00:00,2022-10-31 09:00:00,0.0,8.528,23.754062500000032,23.770512051053913,65,1009.0796
34,1667210400000,1667210400000,1667210400000,1667210400000,1667210400000,1667210400000,2022-10-31 10:00:00,2022-10-31 10:00:00,2022-10-31 10:00:00,2022-10-31 10:00:00,2022-10-31 10:00:00,2022-10-31 10:00:00,0.0,8.528,24.798378906250036,24.81529100924479,61,1008.9994
35,1667214000000,1667214000000,1667214000000,1667214000000,1667214000000,1667214000000,2022-10-31 11:00:00,2022-10-31 11:00:00,2022-10-31 11:00:00,2022-10-31 11:00:00,2022-10-31 11:00:00,2022-10-31 11:00:00,0.0,8.528,26.194667968750025,26.39204190361656,56,1009.467
36,1667217600000,1667217600000,1667217600000,1667217600000,1667217600000,1667217600000,2022-10-31 12:00:00,2022-10-31 12:00:00,2022-10-31 12:00:00,2022-10-31 12:00:00,2022-10-31 12:00:00,2022-10-31 12:00:00,0.0,8.528,27.60371093750001,27.758030835216744,52,1010.2257000000001
37,1667221200000,1667221200000,1667221200000,1667221200000,1667221200000,1667221200000,2022-10-31 13:00:00,2022-10-31 13:00:00,2022-10-31 13:00:00,2022-10-31 13:00:00,2022-10-31 13:00:00,2022-10-31 13:00:00,0.0,8.528,28.224941406250025,28.3632991746681,50,1010.7021000000001
38,1667224800000,1667224800000,1667224800000,1667224800000,1667224800000,1667224800000,2022-10-31 14:00:00,2022-10-31 14:00:00,2022-10-31 14:00:00,2022-10-31 14:00:00,2022-10-31 14:00:00,2022-10-31 14:00:00,0.0,8.528,28.55900390625004,28.666893641715234,48,1010.1982
39,1667228400000,1667228400000,1667228400000,1667228400000,1667228400000,1667228400000,2022-10-31 15:00:00,2022-10-31 15:00:00,2022-10-31 15:00:00,2022-10-31 15:00:00,2022-10-31 15:00:00,2022-10-31 15:00:00,0.0,8.528,29.054218750000018,29.140256622809744,47,1010.0036
40,1667232000000,1667232000000,1667232000000,1667232000000,1667232000000,1667232000000,2022-10-31 16:00:00,2022-10-31 16:00:00,2022-10-31 16:00:00,2022-10-31 16:00:00,2022-10-31 16:00:00,2022-10-31 16:00:00,0.14400000000000013,8.672,28.942675781250045,29.037905258663557,47,1010.5992
41,1667235600000,1667235600000,1667235600000,1667235600000,1667235600000,1667235600000,2022-10-31 17:00:00,2022-10-31 17:00:00,2022-10-31 17:00:00,2022-10-31 17:00:00,2022-10-31 17:00:00,2022-10-31 17:00:00,1.991999999999999,10.664,25.577382812500048,25.61329031310578,64,1010.8212
42,1667239200000,1667239200000,1667239200000,1667239200000,1667239200000,1667239200000,2022-10-31 18:00:00,2022-10-31 18:00:00,2022-10-31 18:00:00,2022-10-31 18:00:00,2022-10-31 18:00:00,2022-10-31 18:00:00,0.6880000000000006,11.352,25.762714843750018,25.80223271668899,64,1010.0772999999999
43,1667242800000,1667242800000,1667242800000,1667242800000,1667242800000,1667242800000,2022-10-31 19:00:00,2022-10-31 19:00:00,2022-10-31 19:00:00,2022-10-31 19:00:00,2022-10-31 19:00:00,2022-10-31 19:00:00,1.2959999999999994,12.648,24.640781250000032,24.692378380067538,72,1009.7407000000001
44,1667246400000,1667246400000,1667246400000,1667246400000,1667246400000,1667246400000,2022-10-31 20:00:00,2022-10-31 20:00:00,2022-10-31 20:00:00,2022-10-31 20:00:00,2022-10-31 20:00:00,2022-10-31 20:00:00,3.6240000000000023,16.272000000000002,22.347187500000018,22.411239267871565,85,1011.9525
45,1667250000000,1667250000000,1667250000000,1667250000000,1667250000000,1667250000000,2022-10-31 21:00:00,2022-10-31 21:00:00,2022-10-31 21:00:00,2022-10-31 21:00:00,2022-10-31 21:00:00,2022-10-31 21:00:00,0.6479999999999997,16.92,20.28630859375005,19.269746523364688,91,1012.9602
46,1667253600000,1667253600000,1667253600000,1667253600000,1667253600000,1667253600000,2022-10-31 22:00:00,2022-10-31 22:00:00,2022-10-31 22:00:00,2022-10-31 22:00:00,2022-10-31 22:00:00,2022-10-31 22:00:00,1.2240000000000002,18.144000000000002,19.347460937500045,18.37784126111913,92,1013.1999000000001
47,1667257200000,1667257200000,1667257200000,1667257200000,1667257200000,1667257200000,2022-10-31 23:00:00,2022-10-31 23:00:00,2022-10-31 23:00:00,2022-10-31 23:00:00,2022-10-31 23:00:00,2022-10-31 23:00:00,0.35999999999999943,18.504,18.789062500000057,17.847362752150758,94,1014.2918000000001
48,1667260800000,1667260800000,1667260800000,1667260800000,1667260800000,1667260800000,2022-11-01 00:00:00,2022-11-01 00:00:00,2022-11-01 00:00:00,2022-11-01 00:00:00,2022-11-01 00:00:00,2022-11-01 00:00:00,0.3039999999999985,18.808,18.33488281250004,17.41589205443998,93,1015.7769000000001
49,1667264400000,1667264400000,1667264400000,1667264400000,1667264400000,1667264400000,2022-11-01 01:00:00,2022-11-01 01:00:00,2022-11-01 01:00:00,2022-11-01 01:00:00,2022-11-01 01:00:00,2022-11-01 01:00:00,0.43200000000000216,19.240000000000002,18.219355468750052,17.3061410792547,92,1016.6632000000001
50,1667268000000,1667268000000,1667268000000,1667268000000,1667268000000,1667268000000,2022-11-01 02:00:00,2022-11-01 02:00:00,2022-11-01 02:00:00,2022-11-01 02:00:00,2022-11-01 02:00:00,2022-11-01 02:00:00,0.49599999999999866,19.736,17.534707031250036,16.655725071791323,92,1016.4277999999999
51,1667271600000,1667271600000,1667271600000,1667271600000,1667271600000,1667271600000,2022-11-01 03:00:00,2022-11-01 03:00:00,2022-11-01 03:00:00,2022-11-01 03:00:00,2022-11-01 03:00:00,2022-11-01 03:00:00,0.3359999999999985,20.072,17.051562500000045,16.196737772863372,94,1016.0539
52,1667275200000,1667275200000,1667275200000,1667275200000,1667275200000,1667275200000,2022-11-01 04:00:00,2022-11-01 04:00:00,2022-11-01 04:00:00,2022-11-01 04:00:00,2022-11-01 04:00:00,2022-11-01 04:00:00,0.38400000000000034,20.456,16.92941406250003,16.080696758694472,92,1017.1234
53,1667278800000,1667278800000,1667278800000,1667278800000,1667278800000,1667278800000,2022-11-01 05:00:00,2022-11-01 05:00:00,2022-11-01 05:00:00,2022-11-01 05:00:00,2022-11-01 05:00:00,2022-11-01 05:00:00,0.40000000000000213,20.856,16.800664062500005,15.95838426022928,93,1016.9768
54,1667282400000,1667282400000,1667282400000,1667282400000,1667282400000,1667282400000,2022-11-01 06:00:00,2022-11-01 06:00:00,2022-11-01 06:00:00,2022-11-01 06:00:00,2022-11-01 06:00:00,2022-11-01 06:00:00,0.6400000000000006,21.496000000000002,16.239042968750027,15.424844227861826,92,1016.4696
