,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1665878400000,1665878400000,1665878400000,1665878400000,1665878400000,1665878400000,2022-10-16 00:00:00,2022-10-16 00:00:00,2022-10-16 00:00:00,2022-10-16 00:00:00,2022-10-16 00:00:00,2022-10-16 00:00:00,0.0,0.0,17.624375000000043,16.740909641034904,95,1023.3465000000001
1,1665882000000,1665882000000,1665882000000,1665882000000,1665882000000,1665882000000,2022-10-16 01:00:00,2022-10-16 01:00:00,2022-10-16 01:00:00,2022-10-16 01:00:00,2022-10-16 01:00:00,2022-10-16 01:00:00,0.0424,0.0424,17.68064453125004,16.794365695051624,92,1023.1183
2,1665885600000,1665885600000,1665885600000,1665885600000,1665885600000,1665885600000,2022-10-16 02:00:00,2022-10-16 02:00:00,2022-10-16 02:00:00,2022-10-16 02:00:00,2022-10-16 02:00:00,2022-10-16 02:00:00,0.07919999999999999,0.12159999999999999,17.654863281250016,16.769873507858932,91,1023.0894999999999
3,1665889200000,1665889200000,1665889200000,1665889200000,1665889200000,1665889200000,2022-10-16 03:00:00,2022-10-16 03:00:00,2022-10-16 03:00:00,2022-10-16 03:00:00,2022-10-16 03:00:00,2022-10-16 03:00:00,0.0003999999999999976,0.12199999999999998,17.252265625000007,16.387405739220753,92,1021.8856
4,1665892800000,1665892800000,1665892800000,1665892800000,1665892800000,1665892800000,2022-10-16 04:00:00,2022-10-16 04:00:00,2022-10-16 04:00:00,2022-10-16 04:00:00,2022-10-16 04:00:00,2022-10-16 04:00:00,-0.0020000000000000018,0.11999999999999998,16.977187500000014,16.126081523749946,90,1019.8566999999999
5,1665896400000,1665896400000,1665896400000,1665896400000,1665896400000,1665896400000,2022-10-16 05:00:00,2022-10-16 05:00:00,2022-10-16 05:00:00,2022-10-16 05:00:00,2022-10-16 05:00:00,2022-10-16 05:00:00,0.0,0.11999999999999998,16.73826171875004,15.899102034410703,86,1018.9218000000001
6,1665900000000,1665900000000,1665900000000,1665900000000,1665900000000,1665900000000,2022-10-16 06:00:00,2022-10-16 06:00:00,2022-10-16 06:00:00,2022-10-16 06:00:00,2022-10-16 06:00:00,2022-10-16 06:00:00,0.0,0.11999999999999998,16.57636718750001,15.745302231653113,86,1018.3436999999999
7,1665903600000,1665903600000,1665903600000,1665903600000,1665903600000,1665903600000,2022-10-16 07:00:00,2022-10-16 07:00:00,2022-10-16 07:00:00,2022-10-16 07:00:00,2022-10-16 07:00:00,2022-10-16 07:00:00,0.0,0.11999999999999998,16.524003906250016,15.695557115089827,84,1017.7373
8,1665907200000,1665907200000,1665907200000,1665907200000,1665907200000,1665907200000,2022-10-16 08:00:00,2022-10-16 08:00:00,2022-10-16 08:00:00,2022-10-16 08:00:00,2022-10-16 08:00:00,2022-10-16 08:00:00,0.0,0.11999999999999998,16.34712890625002,15.527525867198335,85,1019.2544
9,1665910800000,1665910800000,1665910800000,1665910800000,1665910800000,1665910800000,2022-10-16 09:00:00,2022-10-16 09:00:00,2022-10-16 09:00:00,2022-10-16 09:00:00,2022-10-16 09:00:00,2022-10-16 09:00:00,0.0,0.11999999999999998,16.554492187500045,15.724520981913912,84,1018.8134
10,1665914400000,1665914400000,1665914400000,1665914400000,1665914400000,1665914400000,2022-10-16 10:00:00,2022-10-16 10:00:00,2022-10-16 10:00:00,2022-10-16 10:00:00,2022-10-16 10:00:00,2022-10-16 10:00:00,0.0,0.11999999999999998,17.99287109375001,17.09098092570457,74,1018.4766999999999
11,1665918000000,1665918000000,1665918000000,1665918000000,1665918000000,1665918000000,2022-10-16 11:00:00,2022-10-16 11:00:00,2022-10-16 11:00:00,2022-10-16 11:00:00,2022-10-16 11:00:00,2022-10-16 11:00:00,0.0,0.11999999999999998,20.008691406250023,19.00601019854912,61,1019.2366999999999
12,1665921600000,1665921600000,1665921600000,1665921600000,1665921600000,1665921600000,2022-10-16 12:00:00,2022-10-16 12:00:00,2022-10-16 12:00:00,2022-10-16 12:00:00,2022-10-16 12:00:00,2022-10-16 12:00:00,0.0,0.11999999999999998,21.969882812500032,21.922510552336803,52,1018.9556
13,1665925200000,1665925200000,1665925200000,1665925200000,1665925200000,1665925200000,2022-10-16 13:00:00,2022-10-16 13:00:00,2022-10-16 13:00:00,2022-10-16 13:00:00,2022-10-16 13:00:00,2022-10-16 13:00:00,0.0,0.11999999999999998,23.922226562500043,23.87900126777805,46,1018.2016
14,1665928800000,1665928800000,1665928800000,1665928800000,1665928800000,1665928800000,2022-10-16 14:00:00,2022-10-16 14:00:00,2022-10-16 14:00:00,2022-10-16 14:00:00,2022-10-16 14:00:00,2022-10-16 14:00:00,0.0,0.11999999999999998,25.635878906250014,25.602613816134863,42,1017.3594
15,1665932400000,1665932400000,1665932400000,1665932400000,1665932400000,1665932400000,2022-10-16 15:00:00,2022-10-16 15:00:00,2022-10-16 15:00:00,2022-10-16 15:00:00,2022-10-16 15:00:00,2022-10-16 15:00:00,0.0,0.11999999999999998,26.85203125000004,26.83963705170845,40,1015.5839
16,1665936000000,1665936000000,1665936000000,1665936000000,1665936000000,1665936000000,2022-10-16 16:00:00,2022-10-16 16:00:00,2022-10-16 16:00:00,2022-10-16 16:00:00,2022-10-16 16:00:00,2022-10-16 16:00:00,0.016000000000000014,0.136,27.384121093750025,27.363573597561697,42,1015.0574
17,1665939600000,1665939600000,1665939600000,1665939600000,1665939600000,1665939600000,2022-10-16 17:00:00,2022-10-16 17:00:00,2022-10-16 17:00:00,2022-10-16 17:00:00,2022-10-16 17:00:00,2022-10-16 17:00:00,0.11599999999999999,0.252,26.25431640625004,26.397580066505043,51,1014.263
18,1665943200000,1665943200000,1665943200000,1665943200000,1665943200000,1665943200000,2022-10-16 18:00:00,2022-10-16 18:00:00,2022-10-16 18:00:00,2022-10-16 18:00:00,2022-10-16 18:00:00,2022-10-16 18:00:00,0.020000000000000018,0.272,25.782343750000052,25.79347081216565,55,1012.8101000000001
19,1665946800000,1665946800000,1665946800000,1665946800000,1665946800000,1665946800000,2022-10-16 19:00:00,2022-10-16 19:00:00,2022-10-16 19:00:00,2022-10-16 19:00:00,2022-10-16 19:00:00,2022-10-16 19:00:00,0.264,0.536,25.519921875000023,25.532710681470746,57,1012.3785
20,1665950400000,1665950400000,1665950400000,1665950400000,1665950400000,1665950400000,2022-10-16 20:00:00,2022-10-16 20:00:00,2022-10-16 20:00:00,2022-10-16 20:00:00,2022-10-16 20:00:00,2022-10-16 20:00:00,0.07599999999999996,0.612,25.06414062500005,25.078545636181417,59,1013.3469
21,1665954000000,1665954000000,1665954000000,1665954000000,1665954000000,1665954000000,2022-10-16 21:00:00,2022-10-16 21:00:00,2022-10-16 21:00:00,2022-10-16 21:00:00,2022-10-16 21:00:00,2022-10-16 21:00:00,0.008000000000000007,0.62,23.334511718750036,23.351503658095908,66,1014.0023
