,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1661299200000,1661299200000,1661299200000,1661299200000,1661299200000,1661299200000,2022-08-24 00:00:00,2022-08-24 00:00:00,2022-08-24 00:00:00,2022-08-24 00:00:00,2022-08-24 00:00:00,2022-08-24 00:00:00,0.0,0.0,14.402734375000023,13.680351085689836,85,1024.7088
1,1661302800000,1661302800000,1661302800000,1661302800000,1661302800000,1661302800000,2022-08-24 01:00:00,2022-08-24 01:00:00,2022-08-24 01:00:00,2022-08-24 01:00:00,2022-08-24 01:00:00,2022-08-24 01:00:00,0.0,0.0,14.192402343750018,13.480535658509694,88,1025.2277000000001
2,1661306400000,1661306400000,1661306400000,1661306400000,1661306400000,1661306400000,2022-08-24 02:00:00,2022-08-24 02:00:00,2022-08-24 02:00:00,2022-08-24 02:00:00,2022-08-24 02:00:00,2022-08-24 02:00:00,0.0,0.0,13.867480468750045,13.171859881133088,90,1025.0274
3,1661310000000,1661310000000,1661310000000,1661310000000,1661310000000,1661310000000,2022-08-24 03:00:00,2022-08-24 03:00:00,2022-08-24 03:00:00,2022-08-24 03:00:00,2022-08-24 03:00:00,2022-08-24 03:00:00,0.0,0.0,13.688808593750025,13.002121602013005,91,1025.1035000000002
4,1661313600000,1661313600000,1661313600000,1661313600000,1661313600000,1661313600000,2022-08-24 04:00:00,2022-08-24 04:00:00,2022-08-24 04:00:00,2022-08-24 04:00:00,2022-08-24 04:00:00,2022-08-24 04:00:00,0.0,0.0,13.362910156250052,12.69251809027304,93,1024.0219
5,1661317200000,1661317200000,1661317200000,1661317200000,1661317200000,1661317200000,2022-08-24 05:00:00,2022-08-24 05:00:00,2022-08-24 05:00:00,2022-08-24 05:00:00,2022-08-24 05:00:00,2022-08-24 05:00:00,0.0,0.0,13.077070312500041,12.420970242117988,94,1023.8896000000001
6,1661320800000,1661320800000,1661320800000,1661320800000,1661320800000,1661320800000,2022-08-24 06:00:00,2022-08-24 06:00:00,2022-08-24 06:00:00,2022-08-24 06:00:00,2022-08-24 06:00:00,2022-08-24 06:00:00,0.0,0.0,13.256816406250039,12.591729029037765,92,1024.3342
7,1661324400000,1661324400000,1661324400000,1661324400000,1661324400000,1661324400000,2022-08-24 07:00:00,2022-08-24 07:00:00,2022-08-24 07:00:00,2022-08-24 07:00:00,2022-08-24 07:00:00,2022-08-24 07:00:00,0.004,0.004,13.179882812500011,12.518642115892362,92,1024.1057
8,1661328000000,1661328000000,1661328000000,1661328000000,1661328000000,1661328000000,2022-08-24 08:00:00,2022-08-24 08:00:00,2022-08-24 08:00:00,2022-08-24 08:00:00,2022-08-24 08:00:00,2022-08-24 08:00:00,0.004,0.008,12.975839843750009,12.324801298012233,93,1023.8792
9,1661331600000,1661331600000,1661331600000,1661331600000,1661331600000,1661331600000,2022-08-24 09:00:00,2022-08-24 09:00:00,2022-08-24 09:00:00,2022-08-24 09:00:00,2022-08-24 09:00:00,2022-08-24 09:00:00,0.008,0.016,13.238398437500052,12.574231958944836,91,1024.4321
10,1661335200000,1661335200000,1661335200000,1661335200000,1661335200000,1661335200000,2022-08-24 10:00:00,2022-08-24 10:00:00,2022-08-24 10:00:00,2022-08-24 10:00:00,2022-08-24 10:00:00,2022-08-24 10:00:00,0.012,0.028,13.616796875000034,12.93371047005894,88,1024.5855000000001
11,1661338800000,1661338800000,1661338800000,1661338800000,1661338800000,1661338800000,2022-08-24 11:00:00,2022-08-24 11:00:00,2022-08-24 11:00:00,2022-08-24 11:00:00,2022-08-24 11:00:00,2022-08-24 11:00:00,0.0,0.028,14.15816406250002,13.44800929173033,85,1026.4945
12,1661342400000,1661342400000,1661342400000,1661342400000,1661342400000,1661342400000,2022-08-24 12:00:00,2022-08-24 12:00:00,2022-08-24 12:00:00,2022-08-24 12:00:00,2022-08-24 12:00:00,2022-08-24 12:00:00,0.0,0.028,16.07687500000003,15.27078465948253,75,1026.1048
13,1661346000000,1661346000000,1661346000000,1661346000000,1661346000000,1661346000000,2022-08-24 13:00:00,2022-08-24 13:00:00,2022-08-24 13:00:00,2022-08-24 13:00:00,2022-08-24 13:00:00,2022-08-24 13:00:00,0.0,0.028,18.184921875000043,17.273429165602664,65,1025.1532
