,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1663027200000,1663027200000,1663027200000,1663027200000,1663027200000,1663027200000,2022-09-13 00:00:00,2022-09-13 00:00:00,2022-09-13 00:00:00,2022-09-13 00:00:00,2022-09-13 00:00:00,2022-09-13 00:00:00,0.0,0.0,16.339746093750023,15.520512195411357,84,1016.8938
1,1663030800000,1663030800000,1663030800000,1663030800000,1663030800000,1663030800000,2022-09-13 01:00:00,2022-09-13 01:00:00,2022-09-13 01:00:00,2022-09-13 01:00:00,2022-09-13 01:00:00,2022-09-13 01:00:00,0.0,0.0,16.445585937500027,15.621060045712142,83,1016.3928
2,1663034400000,1663034400000,1663034400000,1663034400000,1663034400000,1663034400000,2022-09-13 02:00:00,2022-09-13 02:00:00,2022-09-13 02:00:00,2022-09-13 02:00:00,2022-09-13 02:00:00,2022-09-13 02:00:00,0.0,0.0,16.13865234375004,15.329473135308604,84,1015.9364
3,1663038000000,1663038000000,1663038000000,1663038000000,1663038000000,1663038000000,2022-09-13 03:00:00,2022-09-13 03:00:00,2022-09-13 03:00:00,2022-09-13 03:00:00,2022-09-13 03:00:00,2022-09-13 03:00:00,0.0,0.0,15.874921875000041,15.078929193139999,86,1015.1446000000001
4,1663041600000,1663041600000,1663041600000,1663041600000,1663041600000,1663041600000,2022-09-13 04:00:00,2022-09-13 04:00:00,2022-09-13 04:00:00,2022-09-13 04:00:00,2022-09-13 04:00:00,2022-09-13 04:00:00,0.10400000000000001,0.10400000000000001,15.998574218750036,15.196398918228454,87,1013.3197
5,1663045200000,1663045200000,1663045200000,1663045200000,1663045200000,1663045200000,2022-09-13 05:00:00,2022-09-13 05:00:00,2022-09-13 05:00:00,2022-09-13 05:00:00,2022-09-13 05:00:00,2022-09-13 05:00:00,0.0,0.10400000000000001,16.089238281250005,15.282529776522637,89,1013.2064
6,1663048800000,1663048800000,1663048800000,1663048800000,1663048800000,1663048800000,2022-09-13 06:00:00,2022-09-13 06:00:00,2022-09-13 06:00:00,2022-09-13 06:00:00,2022-09-13 06:00:00,2022-09-13 06:00:00,0.00399999999999999,0.108,16.007441406250052,15.204822746247771,90,1013.4558999999999
7,1663052400000,1663052400000,1663052400000,1663052400000,1663052400000,1663052400000,2022-09-13 07:00:00,2022-09-13 07:00:00,2022-09-13 07:00:00,2022-09-13 07:00:00,2022-09-13 07:00:00,2022-09-13 07:00:00,0.0,0.108,15.12273437500005,14.36435107710679,95,1014.071
8,1663056000000,1663056000000,1663056000000,1663056000000,1663056000000,1663056000000,2022-09-13 08:00:00,2022-09-13 08:00:00,2022-09-13 08:00:00,2022-09-13 08:00:00,2022-09-13 08:00:00,2022-09-13 08:00:00,0.0,0.108,14.557441406250007,13.827322763533061,98,1013.6537
9,1663059600000,1663059600000,1663059600000,1663059600000,1663059600000,1663059600000,2022-09-13 09:00:00,2022-09-13 09:00:00,2022-09-13 09:00:00,2022-09-13 09:00:00,2022-09-13 09:00:00,2022-09-13 09:00:00,0.008000000000000007,0.116,14.70210937500002,13.964757332120996,98,1014.5056
