,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1661904000000,1661904000000,1661904000000,1661904000000,1661904000000,1661904000000,2022-08-31 00:00:00,2022-08-31 00:00:00,2022-08-31 00:00:00,2022-08-31 00:00:00,2022-08-31 00:00:00,2022-08-31 00:00:00,0.0,0.0,12.344082031250025,11.724631383668395,86,1027.1482
1,1661907600000,1661907600000,1661907600000,1661907600000,1661907600000,1661907600000,2022-08-31 01:00:00,2022-08-31 01:00:00,2022-08-31 01:00:00,2022-08-31 01:00:00,2022-08-31 01:00:00,2022-08-31 01:00:00,0.0032,0.0032,11.93160156250002,11.332774943273023,91,1027.5585
2,1661911200000,1661911200000,1661911200000,1661911200000,1661911200000,1661911200000,2022-08-31 02:00:00,2022-08-31 02:00:00,2022-08-31 02:00:00,2022-08-31 02:00:00,2022-08-31 02:00:00,2022-08-31 02:00:00,0.0016000000000000003,0.0048000000000000004,11.810468750000041,11.217698772842056,91,1027.9979
3,1661914800000,1661914800000,1661914800000,1661914800000,1661914800000,1661914800000,2022-08-31 03:00:00,2022-08-31 03:00:00,2022-08-31 03:00:00,2022-08-31 03:00:00,2022-08-31 03:00:00,2022-08-31 03:00:00,0.0,0.0048000000000000004,11.386972656250009,10.815377488828005,92,1027.0514
4,1661918400000,1661918400000,1661918400000,1661918400000,1661918400000,1661918400000,2022-08-31 04:00:00,2022-08-31 04:00:00,2022-08-31 04:00:00,2022-08-31 04:00:00,2022-08-31 04:00:00,2022-08-31 04:00:00,0.0011999999999999997,0.006,11.781367187500052,11.190052288814002,85,1026.2741
5,1661922000000,1661922000000,1661922000000,1661922000000,1661922000000,1661922000000,2022-08-31 05:00:00,2022-08-31 05:00:00,2022-08-31 05:00:00,2022-08-31 05:00:00,2022-08-31 05:00:00,2022-08-31 05:00:00,0.006,0.012,11.616484375000027,11.033413618904518,86,1025.0669
6,1661925600000,1661925600000,1661925600000,1661925600000,1661925600000,1661925600000,2022-08-31 06:00:00,2022-08-31 06:00:00,2022-08-31 06:00:00,2022-08-31 06:00:00,2022-08-31 06:00:00,2022-08-31 06:00:00,0.0,0.012,11.298750000000041,10.731565966442218,86,1025.0561
7,1661929200000,1661929200000,1661929200000,1661929200000,1661929200000,1661929200000,2022-08-31 07:00:00,2022-08-31 07:00:00,2022-08-31 07:00:00,2022-08-31 07:00:00,2022-08-31 07:00:00,2022-08-31 07:00:00,0.0,0.012,10.879394531250057,10.333178276128848,87,1025.2486999999999
8,1661932800000,1661932800000,1661932800000,1661932800000,1661932800000,1661932800000,2022-08-31 08:00:00,2022-08-31 08:00:00,2022-08-31 08:00:00,2022-08-31 08:00:00,2022-08-31 08:00:00,2022-08-31 08:00:00,0.0,0.012,10.537792968750011,10.008656795826028,86,1025.6765
9,1661936400000,1661936400000,1661936400000,1661936400000,1661936400000,1661936400000,2022-08-31 09:00:00,2022-08-31 09:00:00,2022-08-31 09:00:00,2022-08-31 09:00:00,2022-08-31 09:00:00,2022-08-31 09:00:00,0.0,0.012,10.104277343750027,9.59681695724393,86,1026.5046
10,1661940000000,1661940000000,1661940000000,1661940000000,1661940000000,1661940000000,2022-08-31 10:00:00,2022-08-31 10:00:00,2022-08-31 10:00:00,2022-08-31 10:00:00,2022-08-31 10:00:00,2022-08-31 10:00:00,0.0,0.012,10.158046875000025,9.647898011290465,83,1026.2274
11,1661943600000,1661943600000,1661943600000,1661943600000,1661943600000,1661943600000,2022-08-31 11:00:00,2022-08-31 11:00:00,2022-08-31 11:00:00,2022-08-31 11:00:00,2022-08-31 11:00:00,2022-08-31 11:00:00,0.0,0.012,11.600039062500002,11.01779057222555,72,1027.3907000000002
12,1661947200000,1661947200000,1661947200000,1661947200000,1661947200000,1661947200000,2022-08-31 12:00:00,2022-08-31 12:00:00,2022-08-31 12:00:00,2022-08-31 12:00:00,2022-08-31 12:00:00,2022-08-31 12:00:00,0.0,0.012,13.503125000000011,12.825722190164015,61,1027.9156
13,1661950800000,1661950800000,1661950800000,1661950800000,1661950800000,1661950800000,2022-08-31 13:00:00,2022-08-31 13:00:00,2022-08-31 13:00:00,2022-08-31 13:00:00,2022-08-31 13:00:00,2022-08-31 13:00:00,0.0,0.012,15.293554687500034,14.52663037194543,53,1027.2054
14,1661954400000,1661954400000,1661954400000,1661954400000,1661954400000,1661954400000,2022-08-31 14:00:00,2022-08-31 14:00:00,2022-08-31 14:00:00,2022-08-31 14:00:00,2022-08-31 14:00:00,2022-08-31 14:00:00,0.0,0.012,16.860449218750034,16.01518015795409,47,1025.9028
15,1661958000000,1661958000000,1661958000000,1661958000000,1661958000000,1661958000000,2022-08-31 15:00:00,2022-08-31 15:00:00,2022-08-31 15:00:00,2022-08-31 15:00:00,2022-08-31 15:00:00,2022-08-31 15:00:00,0.0,0.012,18.135390625000014,17.22637447869309,46,1024.8101000000001
16,1661961600000,1661961600000,1661961600000,1661961600000,1661961600000,1661961600000,2022-08-31 16:00:00,2022-08-31 16:00:00,2022-08-31 16:00:00,2022-08-31 16:00:00,2022-08-31 16:00:00,2022-08-31 16:00:00,0.0,0.012,18.846015625000007,17.901468220221773,46,1024.3441
17,1661965200000,1661965200000,1661965200000,1661965200000,1661965200000,1661965200000,2022-08-31 17:00:00,2022-08-31 17:00:00,2022-08-31 17:00:00,2022-08-31 17:00:00,2022-08-31 17:00:00,2022-08-31 17:00:00,0.0,0.012,18.538144531250055,17.608990684829422,48,1022.9805
